Fecha,DIALLU0.1,HUMCALH,HUMCALMAXD,HUMCALMIND,HUMSUEPROF1MTS,HUMAIR2MTSH,HUMSUE20CMH,PREACU2MIN,PREINT30MIN,TEMSUE10CM
2019-03-20 07:00:00,1,96,96,62,11.6,11.4,17.4,12,1.6,11.8
2019-03-21 07:00:00,1,93,93,61,11.2,11.2,19,11.8,15.4,11.4
2019-03-22 07:00:00,1,91,91,63,10.4,10.4,20.2,11.2,14.2,10
2019-03-26 07:00:00,0,93,93,50,8.2,6,22.4,8.8,0,12
2019-03-27 07:00:00,0,89,89,48,9.2,8,21.6,10.2,0,9.2
2019-03-28 07:00:00,0,91,91,50,8.8,8.4,20.8,9.6,0,9
2019-03-29 07:00:00,1,87,87,54,11,9.6,19.6,12.2,5.2,12.8
2019-04-01 07:00:00,1,91,91,58,9,8.8,20.6,9.8,13,11
2019-04-02 07:00:00,1,94,94,57,12,10.2,19,12.6,10.5,11.8
2019-04-03 07:00:00,1,91,91,47,11.2,9.2,22,12,1.6,11.2
2019-04-04 07:00:00,0,94,94,59,12.4,11.8,21,13,0,12.2
2019-04-05 07:00:00,0,94,94,57,12.8,12.2,22.4,13.4,0,13.2
2019-04-22 07:00:00,1,94,94,69,11.4,11.2,19.2,12,11.2,12
2019-04-23 07:00:00,1,93,93,63,11.2,10.4,21.6,11.8,4.2,10.8
2019-04-24 07:00:00,1,94,94,58,12,11.2,20.2,12.6,18.6,12
2019-04-25 07:00:00,1,93,93,56,11,10.4,19.6,11.6,0.8,10.8
2019-04-26 07:00:00,1,91,91,73,11.2,11.4,20.2,12,0.6,12.2
2019-04-29 07:00:00,0,85,85,58,11,11,20,12.4,0,13
2019-05-02 07:00:00,0,90,90,49,5.8,4.2,19.6,6.6,0,8.6
2019-05-03 07:00:00,1,87,87,62,10.2,6.2,18.4,11.4,2.4,11.4
2019-05-07 07:00:00,0,87,87,52,10.6,10,21,11.8,0,11
2019-05-08 07:00:00,1,94,94,59,12,11.8,18.6,12.6,3.8,12
2019-05-09 07:00:00,1,94,94,57,11.6,11.4,19.2,12.2,4.6,11.8
2019-05-10 07:00:00,1,94,94,65,11.8,11.6,19.6,12.4,4.6,11.4
